Logging Type,Num Attackers,FP Rate,Total Attack Packet,Successful Attack Packet,Average Path Length
COMPREHENSIVE,100,1.0E-4,1000000,492494,3.76
COMPREHENSIVE,100,0.001,1000000,555917,3.8
COMPREHENSIVE,100,0.05,1000000,893811,3.76
ODD,100,0.01,1000000,913607,3.6
COMPREHENSIVE,100,0.01,1000000,920511,3.82
EVEN,100,0.01,1000000,886240,4.43
COMPREHENSIVE,100,1.0E-4,1000000,915135,3.83
COMPREHENSIVE,100,0.001,1000000,901994,3.67
EVEN,100,0.001,1000000,0,4.06
COMPREHENSIVE,100,0.05,1000000,949875,3.76
EVEN,100,0.05,1000000,901496,4.73
ODD,100,0.01,1000000,928299,3.85
EVEN,100,0.01,1000000,946434,3.27
COMPREHENSIVE,100,1.0E-4,1000000,865360,3.74
COMPREHENSIVE,100,0.01,1000000,932549,3.77
EVEN,100,0.001,1000000,948383,3.29
COMPREHENSIVE,100,0.001,1000000,877111,3.8
COMPREHENSIVE,100,0.05,1000000,889203,3.5
EVEN,100,0.05,1000000,499229,5.01
ODD,100,0.01,1000000,933341,3.19
EVEN,100,0.01,1000000,904581,3.9
COMPREHENSIVE,100,0.01,1000000,936484,3.99
EVEN,100,0.001,1000000,887249,3.75
COMPREHENSIVE,100,0.001,1000000,915205,3.83
COMPREHENSIVE,100,0.05,1000000,939465,4.05
COMPREHENSIVE,100,1.0E-4,1000000,932790,4.65
EVEN,100,0.05,1000000,913249,3.79
EVEN,100,0.01,1000000,937367,4.0
COMPREHENSIVE,100,0.01,1000000,961444,3.94
COMPREHENSIVE,100,0.05,1000000,912045,3.82
ODD,100,0.01,1000000,0,4.74
COMPREHENSIVE,100,0.001,1000000,898685,4.35
COMPREHENSIVE,100,1.0E-4,1000000,877362,3.94
EVEN,100,0.001,1000000,890545,4.71
EVEN,100,0.05,1000000,914470,3.85
EVEN,100,0.01,1000000,920487,4.08
COMPREHENSIVE,100,0.01,1000000,942903,3.85
ODD,100,0.01,1000000,927481,3.24
EVEN,100,0.001,1000000,866287,3.55
EVEN,100,0.05,1000000,909709,3.85
COMPREHENSIVE,100,0.001,2000000,1797196,3.18
COMPREHENSIVE,100,0.05,2000000,1789729,3.78
COMPREHENSIVE,100,1.0E-4,2000000,1809364,3.7
EVEN,100,0.01,2000000,1810639,3.85
COMPREHENSIVE,100,0.01,2000000,1818485,4.0
EVEN,100,0.001,2000000,1902436,3.81
COMPREHENSIVE,100,0.001,2000000,1935627,4.17
COMPREHENSIVE,100,0.05,2000000,1817490,4.16
EVEN,100,0.05,2000000,1839841,4.19
ODD,100,0.01,2000000,1735204,4.76
COMPREHENSIVE,100,1.0E-4,2000000,1796222,4.13
COMPREHENSIVE,100,0.01,2000000,1823484,3.85
EVEN,100,0.001,2000000,1775921,3.97
COMPREHENSIVE,100,0.05,2000000,1850815,3.85
EVEN,100,0.01,2000000,1818433,4.78
COMPREHENSIVE,100,0.001,2000000,1830303,3.8
EVEN,100,0.05,2000000,1824161,3.88
ODD,100,0.01,2000000,1830154,3.74
COMPREHENSIVE,100,1.0E-4,2000000,1867074,4.34
COMPREHENSIVE,100,0.01,2000000,1761305,3.08
EVEN,100,0.001,2000000,1865445,4.13
COMPREHENSIVE,100,0.05,2000000,0,3.4
COMPREHENSIVE,100,0.001,2000000,1833799,3.78
EVEN,100,0.01,2000000,1904197,4.13
EVEN,100,0.05,2000000,1792701,3.76
ODD,100,0.01,2000000,1865707,3.75
COMPREHENSIVE,100,1.0E-4,2000000,1904839,3.94
COMPREHENSIVE,100,0.01,2000000,1888240,3.34
COMPREHENSIVE,100,0.001,2000000,1879113,3.44
COMPREHENSIVE,100,0.05,2000000,1813013,3.84
EVEN,100,0.001,2000000,1808503,3.96
EVEN,100,0.01,2000000,1808630,3.74
EVEN,100,0.05,2000000,1872354,3.49
ODD,100,0.01,2000000,1826295,3.86
COMPREHENSIVE,100,1.0E-4,2000000,1822084,3.96
COMPREHENSIVE,100,0.01,2000000,1836479,3.96
EVEN,100,0.001,2000000,968575,3.12
EVEN,100,0.01,2000000,1915959,3.87
EVEN,100,0.05,2000000,1856868,3.45
COMPREHENSIVE,100,0.001,3000000,2774554,3.7
ODD,100,0.01,2000000,1875514,3.7
COMPREHENSIVE,100,0.05,3000000,2679223,3.79
COMPREHENSIVE,100,1.0E-4,3000000,2784458,3.99
COMPREHENSIVE,100,0.01,3000000,2865979,3.48
EVEN,100,0.001,3000000,2572930,3.87
EVEN,100,0.01,3000000,2886696,3.81
COMPREHENSIVE,100,0.001,3000000,2796896,3.89
COMPREHENSIVE,100,0.05,3000000,2756783,3.3
ODD,100,0.01,3000000,1444666,3.29
COMPREHENSIVE,100,1.0E-4,3000000,2791171,4.11
EVEN,100,0.05,3000000,2709750,4.94
COMPREHENSIVE,100,0.01,3000000,2709560,3.96
EVEN,100,0.001,3000000,2757461,3.67
EVEN,100,0.01,3000000,2840115,3.54
COMPREHENSIVE,100,0.001,3000000,520532,3.43
COMPREHENSIVE,100,0.05,3000000,2808974,4.16
ODD,100,0.01,3000000,2848973,4.19
COMPREHENSIVE,100,1.0E-4,3000000,2836604,3.49
EVEN,100,0.05,3000000,2787409,3.94
COMPREHENSIVE,100,0.01,3000000,2835553,3.23
COMPREHENSIVE,100,0.001,3000000,2709861,3.15
EVEN,100,0.001,3000000,2716981,3.71
COMPREHENSIVE,100,0.05,3000000,2757611,4.05
COMPREHENSIVE,100,1.0E-4,3000000,2803918,3.91
EVEN,100,0.01,3000000,2572963,4.78
EVEN,100,0.05,3000000,2859250,3.25
COMPREHENSIVE,100,0.01,3000000,2746754,3.64
COMPREHENSIVE,100,0.001,3000000,2775418,3.77
ODD,100,0.01,3000000,2673570,4.9
EVEN,100,0.001,3000000,2748978,3.76
COMPREHENSIVE,100,0.05,3000000,2706849,3.77
COMPREHENSIVE,100,1.0E-4,3000000,2720303,3.82
EVEN,100,0.01,3000000,719589,3.33
COMPREHENSIVE,500,0.001,1000000,890470,3.806
COMPREHENSIVE,100,0.01,3000000,2872786,3.14
EVEN,100,0.05,3000000,2630955,3.84
COMPREHENSIVE,500,0.05,1000000,891886,3.832
ODD,100,0.01,3000000,2705173,3.86
COMPREHENSIVE,500,1.0E-4,1000000,897370,3.784
EVEN,100,0.001,3000000,2810480,4.2
COMPREHENSIVE,500,0.001,1000000,903156,3.774
EVEN,100,0.01,3000000,2571878,4.15
COMPREHENSIVE,500,0.01,1000000,884117,3.814
COMPREHENSIVE,500,0.05,1000000,906690,3.806
EVEN,100,0.05,3000000,2711365,3.83
ODD,100,0.01,3000000,2717866,3.79
EVEN,500,0.001,1000000,896244,3.234
COMPREHENSIVE,500,1.0E-4,1000000,893642,3.81
COMPREHENSIVE,500,0.001,1000000,901056,4.144
COMPREHENSIVE,500,0.01,1000000,897517,3.818
EVEN,500,0.01,1000000,928568,4.21
COMPREHENSIVE,500,0.05,1000000,900633,3.8
EVEN,500,0.05,1000000,924369,3.44
ODD,500,0.01,1000000,911578,3.81
EVEN,500,0.001,1000000,930972,3.772
COMPREHENSIVE,500,1.0E-4,1000000,903691,3.982
COMPREHENSIVE,500,0.001,1000000,959290,3.33
COMPREHENSIVE,500,0.05,1000000,904459,3.804
COMPREHENSIVE,500,0.01,1000000,906304,4.01
EVEN,500,0.05,1000000,901256,3.794
EVEN,500,0.01,1000000,911286,4.184
EVEN,500,0.001,1000000,912714,3.762
ODD,500,0.01,1000000,919884,3.876
COMPREHENSIVE,500,1.0E-4,1000000,658366,3.874
COMPREHENSIVE,500,0.001,1000000,888665,3.814
COMPREHENSIVE,500,0.05,1000000,0,3.874
EVEN,500,0.01,1000000,866456,3.46
COMPREHENSIVE,500,0.01,1000000,939356,3.98
EVEN,500,0.05,1000000,751603,4.066
ODD,500,0.01,1000000,1893,3.66
EVEN,500,0.001,1000000,920287,3.762
COMPREHENSIVE,500,1.0E-4,1000000,923566,3.95
COMPREHENSIVE,500,0.001,2000000,1867748,3.822
COMPREHENSIVE,500,0.01,1000000,886355,3.844
COMPREHENSIVE,500,0.05,2000000,1876223,3.49
EVEN,500,0.05,1000000,928808,3.97
ODD,500,0.01,1000000,901674,3.778
EVEN,500,0.001,1000000,895510,3.818
EVEN,500,0.01,1000000,919612,4.32
COMPREHENSIVE,500,1.0E-4,2000000,1764792,3.996
COMPREHENSIVE,500,0.001,2000000,1904599,3.798
COMPREHENSIVE,500,0.05,2000000,1895809,3.186
EVEN,500,0.01,1000000,924807,3.788
COMPREHENSIVE,500,0.01,2000000,1805199,3.796
EVEN,500,0.05,1000000,921401,4.198
ODD,500,0.01,1000000,923586,4.86
EVEN,500,0.001,2000000,1888890,3.862
COMPREHENSIVE,500,0.001,2000000,1754022,3.804
COMPREHENSIVE,500,1.0E-4,2000000,1742594,4.488
COMPREHENSIVE,500,0.05,2000000,1827435,3.836
COMPREHENSIVE,500,0.01,2000000,1879963,3.868
