LogDos Type,Num Attackers,FP Rate,Total Attack Packet,Successful Attack Packet,Average Path Length
ODD,100,1.0E-4,1000000,7,4.12
EVEN,100,1.0E-4,1000000,0,3.78
COMPREHENSIVE,100,1.0E-4,1000000,0,4.99
ODD,100,1.0E-4,1000000,98,3.77
EVEN,100,1.0E-4,1000000,11,3.18
COMPREHENSIVE,100,1.0E-4,1000000,0,3.82
ODD,100,1.0E-4,1000000,84,3.72
EVEN,100,1.0E-4,1000000,0,3.78
COMPREHENSIVE,100,1.0E-4,1000000,0,3.82
ODD,100,1.0E-4,1000000,91,3.77
EVEN,100,1.0E-4,1000000,0,3.78
COMPREHENSIVE,100,1.0E-4,1000000,0,3.88
ODD,100,1.0E-4,1000000,77,3.78
EVEN,100,1.0E-4,1000000,2,4.03
COMPREHENSIVE,100,1.0E-4,1000000,0,3.87
DYNAMIC,100,1.0E-4,1000000,2379,3.78
DYNAMIC,100,1.0E-4,1000000,4224,4.15
DYNAMIC,100,1.0E-4,1000000,3443,3.65
DYNAMIC,100,1.0E-4,1000000,3036,3.46
DYNAMIC,100,1.0E-4,1000000,6414,4.08
