Logging Type,Num Attackers,FP Rate,Total Attack Packet,Successful Attack Packet,Average Path Length
PERIODIC,100,1.00E-04,1000000,6166,3.8
PERIODIC,100,1.00E-04,1000000,4514,3.81
PERIODIC,100,1.00E-04,1000000,6759,3.83
PERIODIC,100,1.00E-04,1000000,6529,3.77
PERIODIC,100,1.00E-04,1000000,1089,3.76
PERIODIC,100,1.00E-04,1000000,8103,4.58
PERIODIC,100,1.00E-04,1000000,10007,3.18
PERIODIC,100,1.00E-04,1000000,9423,4.22
PERIODIC,100,1.00E-04,1000000,4443,3.76
PERIODIC,100,1.00E-04,1000000,3614,4.19
PERIODIC,100,1.00E-04,2000000,9354,3.28
PERIODIC,100,1.00E-04,2000000,2050,4.08
PERIODIC,100,1.00E-04,2000000,10328,3.81
PERIODIC,100,1.00E-04,2000000,16230,3.85
PERIODIC,100,1.00E-04,2000000,3949,4.18
PERIODIC,100,1.00E-04,2000000,11279,3.91
PERIODIC,100,1.00E-04,2000000,13511,3.06
PERIODIC,100,1.00E-04,2000000,9918,3.9
PERIODIC,100,1.00E-04,2000000,5430,3.91
PERIODIC,100,1.00E-04,2000000,5375,2.64
PERIODIC,100,1.00E-04,3000000,30747,4.19
PERIODIC,100,1.00E-04,3000000,18232,3.8
PERIODIC,100,1.00E-04,3000000,10920,3.74
PERIODIC,100,1.00E-04,3000000,18087,3.75
PERIODIC,100,1.00E-04,3000000,15753,3.77
PERIODIC,100,1.00E-04,3000000,21984,3.32
PERIODIC,100,1.00E-04,3000000,14896,3.85
PERIODIC,100,1.00E-04,3000000,5910,3.17
PERIODIC,100,1.00E-04,3000000,8160,3.76
PERIODIC,100,1.00E-04,3000000,19073,4.06
PERIODIC,500,1.00E-04,1000000,2861,4.152
PERIODIC,500,1.00E-04,1000000,1083,4.188
PERIODIC,500,1.00E-04,1000000,6666,4.208
PERIODIC,500,1.00E-04,1000000,7222,3.852
PERIODIC,500,1.00E-04,1000000,3959,3.198
PERIODIC,500,1.00E-04,1000000,1961,3.786
PERIODIC,500,1.00E-04,1000000,2623,3.8
PERIODIC,500,1.00E-04,1000000,5633,4.184
PERIODIC,500,1.00E-04,1000000,5535,3.964
PERIODIC,500,1.00E-04,1000000,7076,4.712
PERIODIC,500,1.00E-04,2000000,1964,3.75
PERIODIC,500,1.00E-04,2000000,6965,3.836
PERIODIC,500,1.00E-04,2000000,15562,4.27
PERIODIC,500,1.00E-04,2000000,14995,3.808
PERIODIC,500,1.00E-04,2000000,21803,4.202
PERIODIC,500,1.00E-04,2000000,14086,3.842
PERIODIC,500,1.00E-04,2000000,13267,4.19
PERIODIC,500,1.00E-04,2000000,5911,3.924
PERIODIC,500,1.00E-04,2000000,11378,4.098
PERIODIC,500,1.00E-04,2000000,11675,3.814
PERIODIC,500,1.00E-04,3000000,5965,3.774
PERIODIC,500,1.00E-04,3000000,17220,3.692
PERIODIC,500,1.00E-04,3000000,17480,3.796
PERIODIC,500,1.00E-04,3000000,16646,4.008
PERIODIC,500,1.00E-04,3000000,22933,3.79
PERIODIC,500,1.00E-04,3000000,10706,3.81
PERIODIC,500,1.00E-04,3000000,15550,3.802
PERIODIC,500,1.00E-04,3000000,22522,3.804
PERIODIC,500,1.00E-04,3000000,8732,3.8
PERIODIC,500,1.00E-04,3000000,20918,3.838
PERIODIC,1000,1.00E-04,1000000,8644,3.626
PERIODIC,1000,1.00E-04,1000000,7823,3.781
PERIODIC,1000,1.00E-04,1000000,4539,3.219
PERIODIC,1000,1.00E-04,1000000,7791,4.008
PERIODIC,1000,1.00E-04,1000000,7775,3.8
PERIODIC,1000,1.00E-04,1000000,7083,3.772
PERIODIC,1000,1.00E-04,1000000,6224,3.237
PERIODIC,1000,1.00E-04,1000000,5184,3.914
PERIODIC,1000,1.00E-04,1000000,7681,4.082
PERIODIC,1000,1.00E-04,1000000,8633,3.761
PERIODIC,1000,1.00E-04,2000000,8959,3.933
PERIODIC,1000,1.00E-04,2000000,7605,4.945
PERIODIC,1000,1.00E-04,2000000,13435,3.799
PERIODIC,1000,1.00E-04,2000000,5481,3.778
PERIODIC,1000,1.00E-04,2000000,9428,3.793
PERIODIC,1000,1.00E-04,2000000,3705,3.867
PERIODIC,1000,1.00E-04,2000000,9314,3.405
PERIODIC,1000,1.00E-04,2000000,8656,3.79
PERIODIC,1000,1.00E-04,2000000,2107,3.777
PERIODIC,1000,1.00E-04,2000000,11972,3.939
PERIODIC,1000,1.00E-04,3000000,28864,3.794
PERIODIC,1000,1.00E-04,3000000,8328,4.025
PERIODIC,1000,1.00E-04,3000000,5890,3.814
PERIODIC,1000,1.00E-04,3000000,3106,4.139
PERIODIC,1000,1.00E-04,3000000,11375,4.187
PERIODIC,1000,1.00E-04,3000000,26839,4.019
PERIODIC,1000,1.00E-04,3000000,11030,3.552
PERIODIC,1000,1.00E-04,3000000,17770,4.04
PERIODIC,1000,1.00E-04,3000000,29876,3.773
PERIODIC,1000,1.00E-04,3000000,25194,3.801
PERIODIC,1500,1.00E-04,1000000,5678,3.490666667
PERIODIC,1500,1.00E-04,1000000,7263,4.049333333
PERIODIC,1500,1.00E-04,1000000,7184,3.828
PERIODIC,1500,1.00E-04,1000000,1067,3.786
PERIODIC,1500,1.00E-04,1000000,3792,3.774
PERIODIC,1500,1.00E-04,1000000,6861,3.790666667
PERIODIC,1500,1.00E-04,1000000,4451,3.789333333
PERIODIC,1500,1.00E-04,1000000,4035,3.147333333
PERIODIC,1500,1.00E-04,1000000,3283,4.012
PERIODIC,1500,1.00E-04,1000000,8307,4.007333333
PERIODIC,1500,1.00E-04,2000000,7317,4.947333333
PERIODIC,1500,1.00E-04,2000000,3705,3.834
PERIODIC,1500,1.00E-04,2000000,4027,3.842
PERIODIC,1500,1.00E-04,2000000,9487,3.837333333
PERIODIC,1500,1.00E-04,2000000,11241,3.781333333
PERIODIC,1500,1.00E-04,2000000,13283,3.541333333
PERIODIC,1500,1.00E-04,2000000,10201,4.174
PERIODIC,1500,1.00E-04,2000000,10657,4.178
PERIODIC,1500,1.00E-04,2000000,8140,3.77
PERIODIC,1500,1.00E-04,2000000,8110,4.858
PERIODIC,1500,1.00E-04,3000000,10928,3.455333333
PERIODIC,1500,1.00E-04,3000000,12931,3.816666667
PERIODIC,1500,1.00E-04,3000000,22322,3.286666667
PERIODIC,1500,1.00E-04,3000000,15474,3.229333333
PERIODIC,1500,1.00E-04,3000000,22330,3.798666667
PERIODIC,1500,1.00E-04,3000000,2980,3.774
PERIODIC,1500,1.00E-04,3000000,28820,3.892
PERIODIC,1500,1.00E-04,3000000,7145,3.801333333
PERIODIC,1500,1.00E-04,3000000,18440,3.783333333
PERIODIC,1500,1.00E-04,3000000,16819,3.133333333
PERIODIC,2000,1.00E-04,1000000,6354,4.2015
PERIODIC,2000,1.00E-04,1000000,5432,3.9635
PERIODIC,2000,1.00E-04,1000000,1974,3.7895
PERIODIC,2000,1.00E-04,1000000,9363,3.1045
PERIODIC,2000,1.00E-04,1000000,4525,3.8065
PERIODIC,2000,1.00E-04,1000000,7189,4.179
PERIODIC,2000,1.00E-04,1000000,2730,3.8005
PERIODIC,2000,1.00E-04,1000000,10578,3.773
PERIODIC,2000,1.00E-04,1000000,5675,3.7935
PERIODIC,2000,1.00E-04,1000000,2686,3.795
PERIODIC,2000,1.00E-04,2000000,15740,3.54
PERIODIC,2000,1.00E-04,2000000,4494,3.603
PERIODIC,2000,1.00E-04,2000000,14126,3.805
PERIODIC,2000,1.00E-04,2000000,16163,3.8085
PERIODIC,2000,1.00E-04,2000000,7407,4.106
PERIODIC,2000,1.00E-04,2000000,3722,3.7785
PERIODIC,2000,1.00E-04,2000000,2009,3.784
PERIODIC,2000,1.00E-04,2000000,11609,4.2055
PERIODIC,2000,1.00E-04,2000000,2071,3.814
PERIODIC,2000,1.00E-04,2000000,5805,3.7955
PERIODIC,2000,1.00E-04,3000000,16863,3.8205
PERIODIC,2000,1.00E-04,3000000,15788,3.7705
PERIODIC,2000,1.00E-04,3000000,3019,3.808
PERIODIC,2000,1.00E-04,3000000,6885,3.948
PERIODIC,2000,1.00E-04,3000000,11248,3.787
PERIODIC,2000,1.00E-04,3000000,8747,3.323
PERIODIC,2000,1.00E-04,3000000,20891,3.799
PERIODIC,2000,1.00E-04,3000000,8554,5.7385
PERIODIC,2000,1.00E-04,3000000,18275,4.0175
PERIODIC,2000,1.00E-04,3000000,8909,3.902
PERIODIC,100,0.001,1000000,3449,3.72
PERIODIC,100,0.001,1000000,4684,3.87
PERIODIC,100,0.001,1000000,2854,4.61
PERIODIC,100,0.001,1000000,4311,3.35
PERIODIC,100,0.001,1000000,1907,3.82
PERIODIC,100,0.001,1000000,7937,3.17
PERIODIC,100,0.001,1000000,1272,4.23
PERIODIC,100,0.001,1000000,9293,3.84
PERIODIC,100,0.001,1000000,5483,3.75
PERIODIC,100,0.001,1000000,3044,4.15
PERIODIC,100,0.001,2000000,4150,3.87
PERIODIC,100,0.001,2000000,15389,3.81
PERIODIC,100,0.001,2000000,7070,3.64
PERIODIC,100,0.001,2000000,12970,3.51
PERIODIC,100,0.001,2000000,4033,3.76
PERIODIC,100,0.001,2000000,2078,3.82
PERIODIC,100,0.001,2000000,9253,3.77
PERIODIC,100,0.001,2000000,8959,3.78
PERIODIC,100,0.001,2000000,10627,3.77
PERIODIC,100,0.001,2000000,14498,3.86
PERIODIC,100,0.001,3000000,26200,3.78
PERIODIC,100,0.001,3000000,12414,3.85
PERIODIC,100,0.001,3000000,19859,5.09
PERIODIC,100,0.001,3000000,15247,3.98
PERIODIC,100,0.001,3000000,7680,4.16
PERIODIC,100,0.001,3000000,3082,3.83
PERIODIC,100,0.001,3000000,20620,3.85
PERIODIC,100,0.001,3000000,21685,3.54
PERIODIC,100,0.001,3000000,19948,4.05
PERIODIC,100,0.001,3000000,17385,3.82
PERIODIC,500,0.001,1000000,9354,3.46
PERIODIC,500,0.001,1000000,4373,3.86
PERIODIC,500,0.001,1000000,2581,3.788
PERIODIC,500,0.001,1000000,4226,4.172
PERIODIC,500,0.001,1000000,3409,3.772
PERIODIC,500,0.001,1000000,1902,3.796
PERIODIC,500,0.001,1000000,1039,4.024
PERIODIC,500,0.001,1000000,2021,3.79
PERIODIC,500,0.001,1000000,4063,4.474
PERIODIC,500,0.001,1000000,4860,3.414
PERIODIC,500,0.001,2000000,11510,3.78
PERIODIC,500,0.001,2000000,5714,4.07
PERIODIC,500,0.001,2000000,11586,3.802
PERIODIC,500,0.001,2000000,8797,4.168
PERIODIC,500,0.001,2000000,4072,6.16
PERIODIC,500,0.001,2000000,10767,3.55
PERIODIC,500,0.001,2000000,11956,3.8
PERIODIC,500,0.001,2000000,9294,3.786
PERIODIC,500,0.001,2000000,15369,3.43
PERIODIC,500,0.001,2000000,7640,4.2
PERIODIC,500,0.001,3000000,5456,3.838
