Logging Type,Num Attackers,FP Rate,Total Attack Packet,Successful Attack Packet,Average Path Length
COMPREHENSIVE,100,1.00E-04,1000000,0,4.14
COMPREHENSIVE,100,1.00E-04,1000000,0,4.14
COMPREHENSIVE,100,1.00E-04,1000000,0,3.74
COMPREHENSIVE,100,1.00E-04,1000000,0,4.28
COMPREHENSIVE,100,1.00E-04,1000000,0,3.68
COMPREHENSIVE,100,1.00E-04,2000000,0,3.62
COMPREHENSIVE,100,1.00E-04,2000000,0,4.15
COMPREHENSIVE,100,1.00E-04,2000000,0,3.31
COMPREHENSIVE,100,1.00E-04,2000000,0,3.81
COMPREHENSIVE,100,1.00E-04,2000000,0,3.48
COMPREHENSIVE,100,1.00E-04,3000000,0,4.83
COMPREHENSIVE,100,1.00E-04,3000000,0,4.06
COMPREHENSIVE,100,1.00E-04,3000000,0,4.01
COMPREHENSIVE,100,1.00E-04,3000000,0,3.88
COMPREHENSIVE,100,1.00E-04,3000000,0,3.94
COMPREHENSIVE,500,1.00E-04,1000000,0,3.174
COMPREHENSIVE,500,1.00E-04,1000000,0,3.774
COMPREHENSIVE,500,1.00E-04,1000000,0,3.778
COMPREHENSIVE,500,1.00E-04,1000000,0,3.74
COMPREHENSIVE,500,1.00E-04,1000000,0,4.074
COMPREHENSIVE,500,1.00E-04,2000000,0,3.85
COMPREHENSIVE,500,1.00E-04,2000000,0,3.32
COMPREHENSIVE,500,1.00E-04,2000000,0,3.326
COMPREHENSIVE,500,1.00E-04,2000000,0,3.806
COMPREHENSIVE,500,1.00E-04,2000000,0,3.82
COMPREHENSIVE,500,1.00E-04,3000000,0,3.782
COMPREHENSIVE,500,1.00E-04,3000000,0,4.004
COMPREHENSIVE,500,1.00E-04,3000000,0,3.81
COMPREHENSIVE,500,1.00E-04,3000000,0,4.27
COMPREHENSIVE,500,1.00E-04,3000000,0,3.802
COMPREHENSIVE,1000,1.00E-04,1000000,0,3.778
COMPREHENSIVE,1000,1.00E-04,1000000,0,3.77
COMPREHENSIVE,1000,1.00E-04,1000000,0,3.207
COMPREHENSIVE,1000,1.00E-04,1000000,0,3.817
COMPREHENSIVE,1000,1.00E-04,1000000,0,4.179
COMPREHENSIVE,1000,1.00E-04,2000000,0,3.793
COMPREHENSIVE,1000,1.00E-04,2000000,0,3.138
COMPREHENSIVE,1000,1.00E-04,2000000,0,3.336
COMPREHENSIVE,1000,1.00E-04,2000000,0,3.923
COMPREHENSIVE,1000,1.00E-04,2000000,0,3.832
COMPREHENSIVE,1000,1.00E-04,3000000,0,3.831
COMPREHENSIVE,1000,1.00E-04,3000000,0,3.896
COMPREHENSIVE,1000,1.00E-04,3000000,0,4.223
COMPREHENSIVE,1000,1.00E-04,3000000,0,3.539
COMPREHENSIVE,1000,1.00E-04,3000000,0,3.843
COMPREHENSIVE,1500,1.00E-04,1000000,0,3.98
COMPREHENSIVE,1500,1.00E-04,1000000,0,4.007333333
COMPREHENSIVE,1500,1.00E-04,1000000,0,3.821333333
COMPREHENSIVE,1500,1.00E-04,1000000,0,3.799333333
COMPREHENSIVE,1500,1.00E-04,1000000,0,3.770666667
COMPREHENSIVE,1500,1.00E-04,2000000,0,3.45
COMPREHENSIVE,1500,1.00E-04,2000000,0,4.102666667
COMPREHENSIVE,1500,1.00E-04,2000000,0,3.110666667
COMPREHENSIVE,1500,1.00E-04,2000000,0,3.244666667
COMPREHENSIVE,1500,1.00E-04,2000000,0,3.806
COMPREHENSIVE,1500,1.00E-04,3000000,0,3.780666667
COMPREHENSIVE,1500,1.00E-04,3000000,0,3.801333333
COMPREHENSIVE,1500,1.00E-04,3000000,0,3.809333333
COMPREHENSIVE,1500,1.00E-04,3000000,0,4.164666667
COMPREHENSIVE,1500,1.00E-04,3000000,0,3.808666667
COMPREHENSIVE,2000,1.00E-04,1000000,0,5.412
COMPREHENSIVE,2000,1.00E-04,1000000,0,3.7985
COMPREHENSIVE,2000,1.00E-04,1000000,0,3.219
COMPREHENSIVE,2000,1.00E-04,1000000,0,3.0205
COMPREHENSIVE,2000,1.00E-04,1000000,0,4.2095
COMPREHENSIVE,2000,1.00E-04,2000000,0,4.1765
COMPREHENSIVE,2000,1.00E-04,2000000,0,3.812
COMPREHENSIVE,2000,1.00E-04,2000000,0,3.3775
COMPREHENSIVE,2000,1.00E-04,2000000,0,3.106
COMPREHENSIVE,2000,1.00E-04,2000000,0,3.8345
COMPREHENSIVE,2000,1.00E-04,3000000,0,3.205
COMPREHENSIVE,2000,1.00E-04,3000000,0,4.334
COMPREHENSIVE,2000,1.00E-04,3000000,0,3.808
COMPREHENSIVE,2000,1.00E-04,3000000,0,3.8055
COMPREHENSIVE,2000,1.00E-04,3000000,0,3.807
COMPREHENSIVE,100,0.001,1000000,0,3.27
COMPREHENSIVE,100,0.001,1000000,0,4.04
COMPREHENSIVE,100,0.001,1000000,0,3.54
COMPREHENSIVE,100,0.001,1000000,0,3.5
COMPREHENSIVE,100,0.001,1000000,0,3.34
COMPREHENSIVE,100,0.001,2000000,0,3.21
COMPREHENSIVE,100,0.001,2000000,0,3.74
COMPREHENSIVE,100,0.001,2000000,0,3.4
COMPREHENSIVE,100,0.001,2000000,0,3.86
COMPREHENSIVE,100,0.001,2000000,0,3.81
COMPREHENSIVE,100,0.001,3000000,0,3.79
COMPREHENSIVE,100,0.001,3000000,0,4.29
COMPREHENSIVE,100,0.001,3000000,0,3.27
COMPREHENSIVE,100,0.001,3000000,0,3.99
COMPREHENSIVE,100,0.001,3000000,0,4.2
COMPREHENSIVE,500,0.001,1000000,0,3.76
COMPREHENSIVE,500,0.001,1000000,0,3.886
COMPREHENSIVE,500,0.001,1000000,0,3.772
COMPREHENSIVE,500,0.001,1000000,0,3.424
COMPREHENSIVE,500,0.001,1000000,0,3.412
COMPREHENSIVE,500,0.001,2000000,0,3.798
COMPREHENSIVE,500,0.001,2000000,0,4.198
COMPREHENSIVE,500,0.001,2000000,0,5.218
COMPREHENSIVE,500,0.001,2000000,0,3.426
COMPREHENSIVE,500,0.001,2000000,0,3.834
COMPREHENSIVE,500,0.001,3000000,0,3.822
COMPREHENSIVE,500,0.001,3000000,0,4.2
COMPREHENSIVE,500,0.001,3000000,0,4.158
COMPREHENSIVE,500,0.001,3000000,0,4.39
COMPREHENSIVE,500,0.001,3000000,0,3.754
COMPREHENSIVE,1000,0.001,1000000,0,3.788
COMPREHENSIVE,1000,0.001,1000000,0,3.793
COMPREHENSIVE,1000,0.001,1000000,0,3.146
COMPREHENSIVE,1000,0.001,1000000,0,3.804
COMPREHENSIVE,1000,0.001,1000000,0,3.156
COMPREHENSIVE,1000,0.001,2000000,0,4.181
COMPREHENSIVE,1000,0.001,2000000,0,3.76
COMPREHENSIVE,1000,0.001,2000000,0,3.779
COMPREHENSIVE,1000,0.001,2000000,0,3.809
COMPREHENSIVE,1000,0.001,2000000,0,3.803
COMPREHENSIVE,1000,0.001,3000000,0,4.003
COMPREHENSIVE,1000,0.001,3000000,0,3.849
COMPREHENSIVE,1000,0.001,3000000,0,3.816
COMPREHENSIVE,1000,0.001,3000000,0,3.811
COMPREHENSIVE,1000,0.001,3000000,0,3.78
